our_page,our_page_title,linked_url,linked_domain,organization,anchor_text,stat_or_claim,why_valuable,content_type,context
/blog/what-is-rag-retrieval-augmented-generation,What Is RAG (Retrieval-Augmented Generation)?,https://developers.openai.com/api/docs/guides/embeddings,developers.openai.com,OpenAI,OpenAI Embeddings Guide,,"Technical reference for the embedding model used in RAG pipelines; directly relevant to VocUI's core tech stack",Technical documentation,Cited as the reference for understanding how text gets converted into vector embeddings
/blog/what-is-rag-retrieval-augmented-generation,What Is RAG (Retrieval-Augmented Generation)?,https://dev.to/klement_gunndu_e16216829c/vector-databases-guide-rag-applications-2025-55oj,dev.to,dev.to / industry research,vector database market,"Vector database market projected to reach $10.6B by 2032","Industry market size data supporting the growth of RAG infrastructure",Industry research / blog,Cited to support claims about the growing importance of vector databases in RAG systems
/blog/what-is-rag-retrieval-augmented-generation,What Is RAG (Retrieval-Augmented Generation)?,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1635381/full,frontiersin.org,Frontiers in Public Health,Frontiers in Public Health study,RAG-based AI system achieved 94% accuracy in healthcare triage recommendations,Peer-reviewed stat backing RAG accuracy claims in high-stakes domains,Academic journal,Cited to demonstrate real-world RAG accuracy in healthcare settings
/blog/what-is-rag-retrieval-augmented-generation,What Is RAG (Retrieval-Augmented Generation)?,https://supabase.com/docs/guides/ai,supabase.com,Supabase,pgvector,,"Technical reference for VocUI's own pgvector implementation in Supabase",Technical documentation,Cited as the implementation reference for storing and querying vector embeddings
/blog/what-are-embeddings-explained-simply,What Are Embeddings? Explained Simply,https://arxiv.org/abs/1706.03762,arxiv.org,arXiv,transformer architecture,,"Original Attention Is All You Need paper; foundational academic reference for how modern embeddings work",Academic paper,Cited as the origin of the transformer architecture underpinning embedding models
/blog/what-are-embeddings-explained-simply,What Are Embeddings? Explained Simply,https://developers.openai.com/api/docs/guides/embeddings,developers.openai.com,OpenAI,OpenAI Embeddings Guide,,"Technical reference for the specific embedding model used; directly relevant to VocUI's stack",Technical documentation,Cited as the practical resource for generating embeddings via OpenAI's API
/blog/what-are-embeddings-explained-simply,What Are Embeddings? Explained Simply,https://dev.to/klement_gunndu_e16216829c/vector-databases-guide-rag-applications-2025-55oj,dev.to,dev.to / industry research,compiled industry research,"Vector database market projected to reach $10.6B by 2032","Industry data on the growth of the embedding/vector database ecosystem",Industry research / blog,Cited to support the commercial relevance of embeddings and vector search
/blog/what-are-embeddings-explained-simply,What Are Embeddings? Explained Simply,https://supabase.com/docs/guides/database/extensions/pgvector,supabase.com,Supabase,Supabase with pgvector,,"Technical reference for VocUI's pgvector implementation",Technical documentation,Cited as the specific Supabase extension used to store and query embeddings
/blog/chatbot-for-travel-agencies,AI Chatbot for Travel Agencies,https://www.stratosjets.com/blog/online-travel-statistics/,stratosjets.com,Stratos Jet Charters,travelers visit 38 websites before booking,"Travelers visit an average of 38 websites before making a booking decision","Consumer behavior stat showing the research complexity of travel purchases; supports chatbot need",Industry blog / statistics roundup,Cited to demonstrate how much pre-purchase research travelers do and why they need instant answers
/blog/chatbot-for-travel-agencies,AI Chatbot for Travel Agencies,https://www.mindfulecotourism.com/chatgpt-and-ai-chatbots-travel-booking-statistics-and-trends/,mindfulecotourism.com,Mindful Ecotourism,60% of travelers open to chatbots,"60% of travelers are open to using AI chatbots for trip planning","Adoption data showing travel customers are receptive to chatbot interactions",Industry research / statistics,Cited to show travel-specific openness to AI chatbot assistance
